id,iva_texto,nombre,codigo_barra,descripcion,tipo_producto,costo,pvp,stock,stock_previo,imagen,fecha_caducidad,control_fecha_caducidad,vendible,visible,descuento,estado,fecha_registro,categoria_id,ice_id,iva_id,presentacion_id,ubicacion_id,utilidad,codigo_principal,costo_utilidad,ubicacion_texto
3,IVA 15 %,"ADVANCE F/ ADVANCE AFP-5138 NHR.NPR, DMAX DIES, DAIH DELTA",7862125910502,Desconocido,1,1.98,5.0,22,0,producto/18213171.jpg,2022-03-30,1970-01-01 00:00:00.000000000,1,1,0,1,2022-03-30 10:01:44.377820,2,Desconocido,1,1.0,5.0,119.56,FILFCO0120,4.3473,Ubicación no definida
4,IVA 12 %,SAMURY OIL FILTER SLF734 HINO USUZU CUM,Desconocido,Desconocido,1,5.88,10.0,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:05:36.048135,2,Desconocido,1,1.0,23.27777777777778,51.85,FILF020275,8.9288,Ubicación no definida
5,IVA 12 %,CANECA QS TRANSMISION HD SAE 75W85 GL -5BD.5 GLNS,Desconocido,Desconocido,1,62.11,99.99,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:08:53.378950,3,Desconocido,1,2.0,23.27777777777778,43.75,ACETRA0017,89.2831,Ubicación no definida
6,IVA 12 %,"ADVANCE FILTERS AO-3985 RENAULT DUSTER, LOGAN, SANDERO",7862125910236,Desconocido,1,1.56,3.0,2,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:11:10.281191,2,Desconocido,1,1.0,23.27777777777778,71.7,FILFIL8924,2.6785,Ubicación no definida
7,IVA 12 %,FIL.ACE. SHOGUN SH-2849A MAZDA FORD BT50 2.200 ALTAO,7862125910144,Desconocido,1,1.73,3.0,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:12:44.887625,2,Desconocido,1,1.0,23.27777777777778,54.83,FILFIL8942,2.6786,Ubicación no definida
8,IVA 12 %,"ADVANCE FILTERS A0-3387 AVEO, CORSA, SAN REMO, OPTRA",7862125910007,Desconocido,1,1.37,3.0,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:15:08.714755,2,Desconocido,1,1.0,23.27777777777778,95.52,FILFIL8937,2.6786,Ubicación no definida
9,IVA 12 %,ADVANCE FILTERS AO-50710 SPH 60 CHEVROLET DMAX 2014,7862125910045,Desconocido,1,2.188,3.75,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:16:52.612770,2,Desconocido,1,1.0,23.27777777777778,53.03,FILFIL8927,3.3483,Ubicación no definida
10,IVA 12 %,"ADVANCE FILTERS A0-3614 VITARA, GRANT VITARA, FORZA, S",7862125910311,Desconocido,1,1.4,3.0,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:18:13.779148,2,Desconocido,1,1.0,23.27777777777778,91.33,FILFIL8939,2.6786,Ubicación no definida
11,IVA 12 %,HAVOLINE 20W50 PREMIUN  SN GALON 6/1,7862112735125,Desconocido,1,15.18,24.0,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:22:47.666246,3,Desconocido,1,5.0,23.27777777777778,41.16,ACECMU0032,21.4281,Ubicación no definida
12,IVA 12 %,HAVOLINE 20W50 PREMIUN  SN CUARTOS 12/1,7862112735132,Desconocido,1,4.11,6.0,0,0,,2022-03-30,1970-01-01 00:00:00.000000000,1,0,0,1,2022-03-30 10:23:50.050447,3,Desconocido,1,1.0,23.27777777777778,30.34,ACECMU0033,5.357,Ubicación no definida
